Feature Set,Model,Precision,Recall,F1-Score,Accuracy,ROC-AUC
Count Vectorization,Logistic Regression,0.9957815796,0.9950819672,0.9954316505,0.9956570156,0.9986908118
Count Vectorization,Naive Bayes,0.9517177344,0.9601873536,0.9559337841,0.9579064588,0.9824364425
Count Vectorization,Decision Tree,0.9941547814,0.9957845433,0.994969,0.9952115813,0.9945250277
Count Vectorization,Random Forest,0.9570411211,0.9756440281,0.9662530442,0.9675946548,0.9933310461
Count Vectorization,Adaboost,0.9906933457,0.9971896956,0.9939309057,0.9942093541,0.9991922612
Count Vectorization,Gradient Boosting,0.9920819748,0.9976580796,0.9948622139,0.9951002227,0.9977608308
Count Vectorization,XGBoost,0.9971903535,0.9974238876,0.9973071069,0.9974387528,0.9996625845
Count Vectorization,SVM,0.9955451348,0.9943793911,0.9949619215,0.9952115813,0.9991486548
