Feature Set,Model,Precision,Recall,F1-Score,Accuracy,ROC-AUC
TFIDF,Logistic Regression,0.9830311483,0.9903981265,0.9867008866,0.9873051225,0.9986825082
TFIDF,Naive Bayes,0.9409164922,0.9473067916,0.9441008286,0.9466592428,0.9861978351
TFIDF,Decision Tree,0.9957746479,0.9934426229,0.9946072685,0.9948775056,0.9948104834
TFIDF,Random Forest,0.9960178028,0.9957845433,0.9959011594,0.9961024499,0.9997117598
TFIDF,Adaboost,0.9913853318,0.9971896956,0.9942790426,0.9945434298,0.9991220036
TFIDF,Gradient Boosting,0.9934594721,0.9960187354,0.9947374576,0.9949888641,0.9976602674
TFIDF,XGBoost,0.9969569288,0.9974238876,0.9971903535,0.9973273942,0.9997478831
TFIDF,SVM,0.991359178,0.9941451991,0.9927502339,0.9930957684,0.9994727944
