Feature Set,Model,Precision,Recall,F1-Score,Accuracy,ROC-AUC
TFIDF,Logistic Regression,0.993906726,0.9932084309,0.9935574558,0.9938752784,0.9995211742
TFIDF,Naive Bayes,0.9481756914,0.9555035129,0.9518254987,0.9540089087,0.989243873
TFIDF,Decision Tree,0.9939252336,0.9962529274,0.9950877193,0.9953229399,0.9947571563
TFIDF,Random Forest,0.9967220791,0.9969555035,0.9968387777,0.9969933185,0.9998080222
TFIDF,Adaboost,0.9886258124,0.9974238876,0.9930053626,0.9933184855,0.9971346778
TFIDF,Gradient Boosting,0.9934640523,0.9967213115,0.9950900164,0.9953229399,0.9972985128
TFIDF,XGBoost,0.9962555582,0.9969555035,0.9966054079,0.9967706013,0.9995833271
TFIDF,SVM,0.9925163704,0.993911007,0.9932131992,0.9935412027,0.9995235609
